date,type,entry_time,entry_price,sl,tp,status,trailing_active,exit_time,exit_price,reason,pnl,pnl_pct
2020-05-17,sell,2020-05-17 05:35:00,9489.512869999999,9689.512869999999,8789.512869999999,closed,True,2020-05-17 12:10:00,9689.512869999999,TSL HIT,-200.0,-2.064087252716551
2020-05-18,buy,2020-05-18 04:05:00,9899.597324999999,9599.597324999999,10599.597324999999,closed,False,2020-05-18 08:45:00,9599.597324999999,StopLoss,-300.0,-3.0304262905966217
2020-05-19,sell,2020-05-19 04:10:00,9457.144062500001,9757.144062500001,8757.144062500001,closed,False,2020-05-19 08:15:00,9757.144062500001,StopLoss,-300.0,-3.074670191178186
2020-05-20,sell,2020-05-20 04:00:00,9702.7511975,9902.7511975,9002.7511975,closed,True,2020-05-20 13:40:00,9767.5,TimeExit,-64.74880250000024,-0.6629004607115463
2020-05-21,sell,2020-05-21 04:35:00,9433.970655000001,9633.970655000001,8733.970655000001,closed,True,2020-05-21 13:40:00,9333.115,TimeExit,100.8556550000012,1.080621582397745
2020-05-22,sell,2020-05-22 04:35:00,8943.570977500001,9243.570977500001,8243.570977500001,closed,False,2020-05-22 13:40:00,9093.67,TimeExit,-150.09902249999868,-1.650587963935335
2020-05-23,sell,2020-05-23 04:35:00,9250.642365000002,9450.642365000002,8550.642365000002,closed,True,2020-05-23 13:40:00,9157.15,TimeExit,93.49236500000188,1.0209766685049582
2020-05-24,buy,2020-05-24 06:00:00,9222.3338625,9022.3338625,9922.3338625,closed,True,2020-05-24 13:40:00,9124.445,TimeExit,-97.88886249999996,-1.061432647738303
2020-05-25,buy,2020-05-25 04:30:00,8802.77919,8602.77919,9502.77919,closed,True,2020-05-25 13:40:00,8767.349999999999,TimeExit,-35.429190000000744,-0.402477322619299
2020-05-26,buy,2020-05-26 05:55:00,8935.38546,8735.38546,9635.38546,closed,True,2020-05-26 13:40:00,8840.31,TimeExit,-95.07546000000002,-1.0640331122324098
2020-05-27,buy,2020-05-27 04:55:00,8859.302437499999,8659.302437499999,9559.302437499999,closed,True,2020-05-27 13:40:00,9134.065,TimeExit,274.7625625000019,3.1014017688004047
2020-05-28,sell,2020-05-28 04:00:00,9146.68437,9346.68437,8446.68437,closed,True,2020-05-28 12:10:00,9346.68437,TSL HIT,-200.0,-2.1397962323617015
2020-05-29,buy,2020-05-29 04:05:00,9540.833032499999,9340.833032499999,10240.833032499999,closed,True,2020-05-29 11:00:00,9340.833032499999,TSL HIT,-200.0,-2.0962530139529534
